gene_symbol,HealthyLungBiopsy_2,HealthyLungBiopsy_1,COVID19Lung_2,COVID19Lung_1
DDX11L1,0,0,0,0
WASH7P,261,140,0,0
FAM138A,0,0,0,0
FAM138F,0,0,0,0
OR4F5,0,0,0,0
LOC729737,15,70,17,0
LOC100132287,0,0,0,0
LOC100132062,0,0,0,0
LOC100133331,11,21,0,0
OR4F29,0,0,0,0
OR4F16,0,0,0,0
OR4F3,0,0,0,0
LOC100288069,4,6,0,0
LINC00115,51,46,0,0
FAM41C,0,0,0,0
SAMD11,25,5,0,0
NOC2L,1083,1989,0,1
KLHL17,57,176,0,0
PLEKHN1,7,44,0,0
HES4,310,302,12,0
ISG15,1398,4081,2231,324
AGRN,648,795,45,1
RNF223,0,16,0,0
C1orf159,153,209,0,0
MIR200B,0,0,0,0
MIR200A,0,0,0,0
MIR429,0,1,0,0
TTLL10,11,13,0,0
TNFRSF18,60,266,2,0
TNFRSF4,51,273,8,0
SDF4,2091,2593,49,8
B3GALT6,316,408,16,0
UBE2J2,1025,1435,2,0
SCNN1D,57,9,0,0
ACAP3,241,153,0,0
PUSL1,105,209,2,0
TAS1R3,19,4,0,0
DVL1,308,679,1,0
MXRA8,1026,160,4,0
AURKAIP1,1900,1874,22,1
CCNL2,4966,5361,1,2
LOC148413,287,362,3,0
MRPL20,1496,2141,4,6
ANKRD65,48,64,0,0
TMEM88B,0,0,0,0
VWA1,997,262,21,0
ATAD3C,103,15,3,0
ATAD3B,646,679,0,0
ATAD3A,297,830,0,0
TMEM240,35,11,0,0
SSU72,2621,2585,117,5
MIB2,199,152,0,1
MMP23B,1,0,0,0
MMP23A,0,0,0,0
CDK11B,900,576,2,0
SLC35E2B,322,314,7,0
CDK11A,379,234,0,0
NADK,1312,1380,120,10
GNB1,9491,14572,716,53
CALML6,3,3,0,0
TMEM52,19,11,0,0
GABRD,24,2,0,0
PRKCZ,414,516,0,0
SKI,648,1059,60,0
MORN1,58,19,0,0
LOC100129534,8,17,0,0
RER1,1787,4010,61,0
PEX10,160,52,0,0
PLCH2,0,16,0,0
PANK4,300,1014,0,0
HES5,4,15,0,0
TNFRSF14,1798,3523,10,2
FAM213B,261,414,5,0
MMEL1,23,162,0,0
TTC34,0,1,0,0
ACTRT2,0,0,0,0
PRDM16,135,518,4,0
MIR4251,0,4,0,0
ARHGEF16,25,35,7,0
MEGF6,388,244,18,0
MIR551A,0,0,0,0
TPRG1L,1456,1705,0,1
WRAP73,282,814,1,0
TP73,14,36,5,0
TP73-AS1,538,324,0,0
